@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
12,'2018/04/07 15:46:48:296',2,387.587341,302.816589,26.836643,392.560303,246.451553,44.280598,331.084137,250.095596,47.60281,282.742401,251.293137,45.566814,193.677933,265.171631,38.41188,1,0,0,0,0,0,0,0,0
13,'2018/04/07 15:46:48:364',2,389.190704,303.512878,26.829983,392.911285,246.494324,44.274738,331.099182,250.191193,47.603405,282.894836,251.573502,45.566032,193.683868,265.326843,38.406555,1,0,0,0,0,0,0,0,0
14,'2018/04/07 15:46:48:413',2,389.732239,303.770142,26.808754,392.954376,246.532349,44.26577,330.973572,250.175812,47.597511,282.798645,251.658966,45.558319,193.621567,265.450928,38.396675,1,0,0,0,0,0,0,0,0
15,'2018/04/07 15:46:48:461',2,390.36853,304.113708,26.769932,392.958405,246.599014,44.25687,330.833069,250.260437,47.58979,282.69812,251.848175,45.548687,193.541794,265.605774,38.383102,1,0,0,0,0,0,0,0,0
16,'2018/04/07 15:46:48:512',2,390.722321,304.145416,26.727184,393.152649,246.785843,44.238892,330.763672,250.384201,47.577015,282.631958,252.018814,45.535351,193.486862,265.691101,38.367054,1,0,0,0,0,0,0,0,0
17,'2018/04/07 15:46:48:562',2,391.058777,304.034302,26.62336,393.217743,246.823303,44.178101,330.795654,250.509216,47.522617,282.659607,252.209534,45.484428,193.559998,265.865021,38.320164,1,0,0,0,0,0,0,0,0
18,'2018/04/07 15:46:48:615',2,391.31369,304.001617,26.623674,393.32428,246.820633,44.172443,330.874023,250.537109,47.515583,282.726349,252.014862,45.475113,193.683594,265.699768,38.313461,1,0,0,0,0,0,0,0,0
19,'2018/04/07 15:46:48:665',2,392.430359,304.055054,26.726164,393.565826,246.723022,44.215256,331.021057,250.461761,47.547905,282.920593,251.919617,45.495819,194.045166,265.808105,38.327019,1,0,0,0,0,0,0,0,0
20,'2018/04/07 15:46:48:714',2,393.663025,303.974762,26.744183,393.890137,246.562653,44.211071,331.21756,250.376633,47.541817,283.211212,251.973129,45.484524,194.400208,265.89856,38.316437,1,0,0,0,0,0,0,0,0
21,'2018/04/07 15:46:48:763',2,392.472504,303.589752,25.979698,394.234283,246.432129,44.119698,331.569122,250.454926,47.456608,283.593323,252.263,45.402527,194.940643,265.987976,38.243729,1,0,0,0,0,0,0,0,0
